Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
0,8000,56,Female,136912,Social Media,Awareness,6497.87,0.04,0.09,0,2.4,7.4,19,6,9,4,688,1
1,8001,69,Male,41760,Email,Retention,3898.67,0.16,0.18,42,2.92,5.35,5,2,7,2,3459,1
2,8002,46,Female,88456,PPC,Awareness,1546.43,0.28,0.08,2,8.22,13.79,0,11,2,8,2337,1
3,8003,32,Female,44085,PPC,Conversion,539.53,0.14,0.09,47,4.54,14.69,89,2,2,0,2463,1
4,8004,60,Female,83964,PPC,Conversion,1678.04,0.25,0.11,0,2.05,13.99,6,6,6,8,4345,1
5,8005,25,Female,42925,Social Media,Awareness,9579.39,0.15,0.16,6,2.13,7.75,95,5,8,0,3316,1
6,8006,38,Female,25615,Referral,Awareness,7302.9,0.04,0.06,42,1.75,10.7,54,14,3,6,930,1
7,8007,56,Female,57083,Social Media,Conversion,5324.28,0.05,0.19,48,2.63,2.99,96,9,3,0,2983,1
8,8008,36,Female,140788,Email,Retention,9421.25,0.02,0.11,13,5.47,14.29,73,4,8,5,460,1
9,8009,40,Male,130764,Social Media,Awareness,6229.19,0.07,0.17,22,1.14,4.61,14,8,4,8,3789,1
10,8010,28,Male,88319,PPC,Retention,7283.89,0.27,0.11,47,2.05,3.29,94,16,5,6,1987,1
11,8011,28,Male,29605,SEO,Awareness,2898.25,0.2,0.16,16,9.16,1.37,23,18,6,5,2403,1
12,8012,41,Male,131093,Email,Conversion,5930.92,0.22,0.02,13,8.89,8.48,28,16,5,4,2946,1
13,8013,53,Male,64608,SEO,Awareness,1520.42,0.19,0.16,8,8.5,14.25,81,8,1,2,2818,1
14,8014,57,Male,148788,Email,Awareness,4104.38,0.12,0.11,20,7.36,2.47,70,16,8,1,3247,1
15,8015,41,Female,39192,Email,Awareness,429.08,0.07,0.1,44,6.95,2.25,33,0,1,1,4474,0
16,8016,20,Female,23331,PPC,Conversion,2244.62,0.28,0.03,1,3.48,4.45,77,7,8,8,3252,1
17,8017,39,Female,71330,Social Media,Conversion,841.2,0.16,0.15,31,4.01,10.15,83,18,5,2,3463,1
18,8018,19,Female,117392,PPC,Conversion,3939.01,0.15,0.03,7,3.12,8.44,92,8,4,6,2222,1
19,8019,41,Female,69949,PPC,Consideration,8446.05,0.3,0.05,35,9.82,1.9,36,7,7,3,3644,1
20,8020,61,Female,88382,PPC,Consideration,3841.55,0.12,0.03,25,6.71,6.91,41,5,1,6,1651,1
21,8021,47,Female,119233,SEO,Consideration,8333.23,0.26,0.01,36,9.69,1.47,63,14,0,5,2586,1
22,8022,55,Male,57586,Email,Consideration,6599.33,0.26,0.14,14,3.45,12.85,94,14,6,9,1989,1
23,8023,19,Female,72243,Referral,Conversion,5144.34,0.08,0.06,33,6.59,2.05,18,5,5,3,1417,1
24,8024,38,Female,120566,Social Media,Awareness,2445.23,0.04,0.04,20,7.83,7.33,22,14,3,2,1563,1
25,8025,50,Female,144213,PPC,Conversion,9229.35,0.29,0.07,22,1.85,7.9,70,17,3,3,2227,1
26,8026,29,Male,78618,Email,Consideration,636.59,0.13,0.1,8,7.0,8.19,5,5,5,1,129,0
27,8027,39,Male,98311,Social Media,Retention,6920.24,0.01,0.11,39,2.52,9.33,98,17,6,1,2688,1
28,8028,61,Female,27549,Referral,Retention,6250.27,0.15,0.08,25,3.95,10.67,92,17,1,3,68,1
29,8029,42,Female,138168,Referral,Conversion,4466.31,0.19,0.1,42,7.45,0.56,54,18,6,2,3079,1
30,8030,66,Male,72494,PPC,Awareness,2479.18,0.24,0.09,21,4.96,0.95,76,19,9,4,1011,1
31,8031,44,Male,107973,Referral,Consideration,4363.89,0.28,0.17,12,9.29,9.37,38,12,6,0,911,1
32,8032,59,Female,43958,Referral,Awareness,8740.45,0.28,0.02,24,3.17,3.14,24,10,5,6,4683,1
33,8033,45,Female,109779,Social Media,Awareness,8383.98,0.28,0.17,6,2.38,12.56,97,14,2,3,467,1
34,8034,33,Male,127713,Social Media,Awareness,9419.67,0.02,0.06,26,4.03,9.6,82,5,7,5,653,1
35,8035,32,Female,127960,PPC,Consideration,3147.15,0.22,0.15,14,8.67,14.72,3,10,0,1,2429,1
36,8036,64,Male,114520,Email,Conversion,3932.33,0.08,0.09,11,8.63,11.06,87,3,7,3,1066,1
