CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
13574,27,Male,83843,SEO,Consideration,8263.32,0.16,0.08,14,9.75,1.57,78,17,0,5,1449,1
11631,26,Female,100754,SEO,Consideration,2036.6,0.08,0.12,47,5.48,1.2,44,3,3,3,732,0
10399,55,Male,27466,Social Media,Consideration,2717.0,0.14,0.08,45,9.76,10.13,83,18,7,0,4854,1
14929,43,Female,48994,Email,Awareness,2988.92,0.19,0.14,4,9.93,3.68,71,14,7,3,787,1
11233,59,Male,90072,Social Media,Retention,2730.74,0.05,0.14,20,7.23,2.87,60,1,5,0,370,0
15126,33,Male,49179,Referral,Awareness,2187.84,0.27,0.02,26,8.43,14.53,77,8,1,9,1414,1
13433,63,Male,100642,Social Media,Consideration,1285.75,0.23,0.18,39,4.71,14.45,55,0,9,4,4183,1
8045,26,Male,120349,Social Media,Awareness,5036.73,0.15,0.09,7,8.66,7.88,91,15,3,0,284,1
9112,40,Male,54171,Social Media,Awareness,7327.78,0.1,0.13,23,7.55,1.82,84,18,8,5,877,1
11492,64,Female,36756,PPC,Awareness,100.67,0.09,0.06,12,2.27,1.65,49,7,2,6,3605,0
9792,29,Female,122398,PPC,Conversion,4155.58,0.12,0.09,25,1.2,12.31,28,18,5,4,2337,1
9738,42,Male,78791,Social Media,Consideration,5145.83,0.09,0.16,25,4.01,12.87,28,19,7,5,1317,1
11403,29,Female,64859,SEO,Awareness,7783.35,0.08,0.04,16,3.71,4.32,72,13,6,5,254,1
13761,35,Male,76005,Social Media,Consideration,9200.31,0.13,0.15,38,3.58,2.98,35,19,9,4,817,1
14470,35,Male,142066,SEO,Retention,1336.6,0.12,0.18,20,5.62,3.97,37,4,3,1,1277,1
13485,29,Male,120769,Referral,Consideration,8959.87,0.09,0.1,48,8.64,4.7,92,16,3,6,2865,1
11317,27,Female,31913,Social Media,Conversion,9853.18,0.23,0.16,0,6.79,6.59,46,4,6,8,464,1
12128,51,Female,76050,Referral,Consideration,2601.4,0.25,0.02,21,1.55,2.94,87,5,8,5,1413,0
13807,49,Female,47268,SEO,Conversion,1327.47,0.24,0.15,7,4.38,2.12,42,9,1,9,821,1
13419,49,Female,133718,PPC,Retention,4531.66,0.24,0.03,12,8.12,11.94,52,19,3,9,2874,1
9988,63,Male,57827,Email,Conversion,6647.29,0.29,0.12,22,1.02,7.55,26,19,6,1,474,1
13503,38,Female,144045,SEO,Awareness,5103.45,0.09,0.02,37,8.55,10.62,50,6,7,1,3971,1
12696,40,Male,110853,SEO,Awareness,2174.5,0.17,0.04,38,5.55,1.34,34,14,5,6,2029,1
10480,24,Male,128598,PPC,Awareness,7694.12,0.16,0.13,44,5.8,2.23,13,6,7,9,1457,1
13804,51,Female,115885,Referral,Consideration,7842.47,0.28,0.05,49,4.25,11.63,79,5,4,1,19,1
14242,62,Male,44630,Email,Consideration,8896.08,0.11,0.09,30,4.41,10.58,40,16,5,4,4499,1
13190,30,Female,137068,Social Media,Retention,7466.17,0.08,0.09,0,1.97,4.77,38,13,0,0,4939,0
15378,38,Male,45482,Referral,Consideration,1420.79,0.2,0.15,38,9.48,1.47,97,15,0,8,4430,0
15658,51,Female,61603,Referral,Awareness,1520.94,0.13,0.2,40,5.56,8.41,25,17,5,6,1386,0
14042,18,Female,66125,PPC,Awareness,3361.69,0.21,0.06,39,9.87,8.79,30,0,1,7,2842,1
12250,27,Female,108898,Social Media,Consideration,3820.51,0.16,0.11,9,8.1,6.69,57,1,4,4,1753,1
12125,30,Male,103845,PPC,Consideration,5959.39,0.06,0.03,4,6.86,11.5,7,9,2,1,1767,0
15336,32,Female,43519,Referral,Retention,2014.84,0.09,0.11,44,3.62,8.85,45,16,1,1,3527,0
15261,23,Male,28272,Social Media,Retention,3340.04,0.27,0.2,22,5.48,14.21,87,8,7,2,675,1
11823,18,Female,36151,Email,Conversion,304.16,0.25,0.15,46,5.46,9.0,10,10,6,3,719,1
10397,52,Female,82771,SEO,Retention,9917.99,0.14,0.07,8,6.46,9.78,77,1,9,4,3141,1
9469,34,Female,148826,Email,Awareness,1105.96,0.13,0.18,3,9.56,13.96,16,11,4,3,1329,1
13964,69,Female,117807,Referral,Retention,1478.28,0.16,0.18,11,3.16,0.95,84,5,0,8,2645,1
12046,25,Female,103488,Social Media,Conversion,5529.74,0.02,0.17,19,9.49,13.89,24,6,8,8,896,1
9335,60,Female,121390,PPC,Retention,5455.27,0.09,0.17,1,1.72,9.84,37,19,4,6,885,1
15070,58,Male,32003,PPC,Consideration,320.18,0.3,0.19,7,7.16,4.67,80,4,7,2,337,0
11372,23,Male,100123,Email,Consideration,881.23,0.17,0.1,2,8.14,2.35,71,11,9,9,1731,1
15186,33,Male,22014,Referral,Retention,9896.73,0.23,0.2,26,9.36,2.9,3,5,9,8,3165,1
15707,58,Male,109729,Social Media,Consideration,6719.74,0.09,0.13,24,4.93,5.65,78,13,4,4,4279,1
14892,61,Female,110790,Social Media,Awareness,8252.44,0.17,0.16,25,9.11,6.66,12,2,2,1,1980,1
11148,48,Female,76023,PPC,Consideration,3151.12,0.3,0.15,14,9.84,10.38,89,10,5,5,2524,1
12545,47,Male,86403,Social Media,Retention,3517.19,0.15,0.15,10,8.94,6.61,38,9,9,2,1835,1
10206,64,Female,65778,SEO,Conversion,1238.03,0.24,0.04,23,7.89,0.57,57,8,6,7,2118,1
15662,35,Female,130563,PPC,Consideration,6599.46,0.03,0.09,10,1.43,11.65,7,18,9,5,4238,0
12982,65,Female,145451,SEO,Awareness,7253.24,0.13,0.11,1,3.1,5.97,66,12,4,4,194,1
10127,53,Female,62362,Referral,Retention,7863.29,0.05,0.11,5,3.05,6.96,90,13,3,0,2188,1
15924,26,Female,94732,Referral,Conversion,9549.05,0.19,0.1,18,9.98,14.72,4,3,7,7,904,1
