iter	Logloss
0	0.6189068604
1	0.5550662231
2	0.5038784027
3	0.4676256561
4	0.436327095
5	0.412409668
6	0.3928026581
7	0.3775454712
8	0.3634997559
9	0.3520581818
10	0.3412559891
11	0.3327389526
12	0.3252988434
13	0.3189118958
14	0.31332304
15	0.3082413483
16	0.303455162
17	0.2990892982
18	0.2957588196
19	0.2923130417
20	0.2890707016
21	0.286412468
22	0.283978157
23	0.2812955856
24	0.2790637207
25	0.2768964958
26	0.2749948502
27	0.2730884552
28	0.2712589645
29	0.269358902
30	0.2674651718
31	0.266044693
32	0.2643276978
33	0.2629849625
34	0.2619626045
35	0.2605976868
36	0.2593917084
37	0.2582432747
38	0.2569821548
39	0.2560367012
40	0.2554004288
41	0.2544232941
42	0.2536094666
43	0.2527711296
44	0.2518522263
45	0.2511624336
46	0.2500453568
47	0.2494569206
48	0.248720932
49	0.2481510735
50	0.2475109863
51	0.2469023514
52	0.2460496902
53	0.2455507278
54	0.2451244354
55	0.2444498634
56	0.2439034653
57	0.2434799576
58	0.2429345894
59	0.2424569702
60	0.2418305969
61	0.2409488869
62	0.2405727959
63	0.2401272774
64	0.2395331573
65	0.2388704109
66	0.2382194138
67	0.2377611542
68	0.2372564316
69	0.2367610168
70	0.2361748123
71	0.2359093857
72	0.2355264282
73	0.2351018906
74	0.2348149872
75	0.2344895554
76	0.2339379501
77	0.233381691
78	0.232929039
79	0.2326671028
80	0.232410717
81	0.2319820404
82	0.2317275238
83	0.2312778664
84	0.2308406448
85	0.2305554199
86	0.2301086807
87	0.2296837997
88	0.2290864182
89	0.2286878777
90	0.2282765961
91	0.2278758621
92	0.2274271774
93	0.2268704224
94	0.2264129829
95	0.2260531998
96	0.2256095505
97	0.2251778603
98	0.2247768402
99	0.2243113708
100	0.2239420128
101	0.2235983849
102	0.2234402084
103	0.2230243301
104	0.2227331734
105	0.2223820305
106	0.2219535065
107	0.221577282
108	0.2212852287
109	0.2205584335
110	0.2201659012
111	0.2199139786
112	0.2194467163
113	0.219107666
114	0.2187848282
115	0.2180507851
116	0.2177138138
117	0.2174478149
118	0.2169012833
119	0.2166331291
120	0.2161017036
121	0.2156259727
122	0.2152456284
123	0.2148762894
124	0.2145580673
125	0.2142096519
