iter	Passed	Remaining
0	2	264
1	5	244
2	7	238
3	10	234
4	12	230
5	15	228
6	17	224
7	20	222
8	22	219
9	24	216
10	27	216
11	30	216
12	33	213
13	35	210
14	38	208
15	40	205
16	43	202
17	45	200
18	48	197
19	50	195
20	53	192
21	55	189
22	58	186
23	60	183
24	62	181
25	65	178
26	67	175
27	70	173
28	72	170
29	75	168
30	78	166
31	80	163
32	83	161
33	85	158
34	88	155
35	90	153
36	92	150
37	95	148
38	97	145
39	100	143
40	102	140
41	105	137
42	107	135
43	110	132
44	112	130
45	115	127
46	117	125
47	120	122
48	122	120
49	125	117
50	127	115
51	130	112
52	132	110
53	135	107
54	137	105
55	140	102
56	142	99
57	144	97
58	147	94
59	149	92
60	152	89
61	154	87
62	157	84
63	159	82
64	162	79
65	165	77
66	167	75
67	170	72
68	172	70
69	175	67
70	177	65
71	180	62
72	183	60
73	185	57
74	188	55
75	190	52
76	193	50
77	195	47
78	198	45
79	200	42
80	203	40
81	205	37
82	207	35
83	210	32
84	212	30
85	215	27
86	217	25
87	220	22
88	222	20
89	225	17
90	227	15
91	230	12
92	232	10
93	235	7
94	237	5
95	240	2
96	242	0
