CustomerID,Age_Group,Gender,Income_Group
8000,Adult,Female,"High Income"
8001,Senior,Male,"Lower Middle Income"
8002,Adult,Female,"Upper Middle Income"
8003,Adult,Female,"Lower Middle Income"
8004,Adult,Female,"Upper Middle Income"
8005,Adult,Female,"Lower Middle Income"
8006,Adult,Female,"Low Income"
8007,Adult,Female,"Middle Income"
8008,Adult,Female,"High Income"
8009,Adult,Male,"High Income"
8010,Adult,Male,"Upper Middle Income"
8011,Adult,Male,"Low Income"
8012,Adult,Male,"High Income"
8013,Adult,Male,"Middle Income"
8014,Adult,Male,"High Income"
8015,Adult,Female,"Lower Middle Income"
8016,Youth,Female,"Low Income"
8017,Adult,Female,"Middle Income"
8018,Youth,Female,"Upper Middle Income"
8019,Adult,Female,"Middle Income"
8020,Adult,Female,"Upper Middle Income"
8021,Adult,Female,"Upper Middle Income"
8022,Adult,Male,"Middle Income"
8023,Youth,Female,"Middle Income"
8024,Adult,Female,"High Income"
8025,Adult,Female,"High Income"
8026,Adult,Male,"Upper Middle Income"
8027,Adult,Male,"Upper Middle Income"
8028,Adult,Female,"Low Income"
8029,Adult,Female,"High Income"
8030,Senior,Male,"Middle Income"
8031,Adult,Male,"Upper Middle Income"
8032,Adult,Female,"Lower Middle Income"
8033,Adult,Female,"Upper Middle Income"
8034,Adult,Male,"High Income"
8035,Adult,Female,"High Income"
8036,Adult,Male,"Upper Middle Income"
8037,Senior,Male,"High Income"
8038,Adult,Female,"High Income"
8039,Senior,Male,"High Income"
8040,Youth,Female,"Middle Income"
8041,Adult,Female,"Low Income"
8042,Senior,Female,"High Income"
8043,Youth,Male,"Lower Middle Income"
8044,Adult,Male,"High Income"
8045,Adult,Male,"High Income"
8046,Adult,Female,"Upper Middle Income"
8047,Adult,Female,"Upper Middle Income"
8048,Youth,Female,"Upper Middle Income"
8049,Adult,Female,"High Income"
8050,Adult,Female,"Lower Middle Income"
8051,Senior,Female,"Upper Middle Income"
8052,Adult,Male,"Middle Income"
8053,Adult,Male,"Middle Income"
8054,Youth,Female,"Low Income"
8055,Adult,Male,"Lower Middle Income"
8056,Adult,Male,"Lower Middle Income"
8057,Adult,Female,"Low Income"
8058,Youth,Female,"Upper Middle Income"
8059,Adult,Male,"Low Income"
8060,Adult,Female,"High Income"
8061,Adult,Female,"Upper Middle Income"
8062,Adult,Female,"High Income"
8063,Adult,Male,"Upper Middle Income"
8064,Adult,Male,"High Income"
8065,Adult,Female,"Upper Middle Income"
8066,Senior,Female,"Lower Middle Income"
8067,Adult,Female,"High Income"
8068,Youth,Female,"Upper Middle Income"
8069,Youth,Male,"Upper Middle Income"
8070,Youth,Male,"Lower Middle Income"
8071,Adult,Female,"Middle Income"
8072,Youth,Male,"Low Income"
8073,Adult,Male,"Middle Income"
8074,Adult,Female,"High Income"
8075,Adult,Male,"Upper Middle Income"
8076,Adult,Male,"Lower Middle Income"
8077,Adult,Female,"Upper Middle Income"
8078,Adult,Male,"Middle Income"
8079,Adult,Male,"Lower Middle Income"
8080,Adult,Female,"Upper Middle Income"
8081,Adult,Female,"Upper Middle Income"
8082,Senior,Male,"Upper Middle Income"
8083,Adult,Female,"Lower Middle Income"
8084,Adult,Male,"High Income"
8085,Adult,Female,"Middle Income"
8086,Adult,Female,"High Income"
8087,Adult,Female,"Upper Middle Income"
8088,Adult,Female,"Upper Middle Income"
8089,Adult,Male,"Upper Middle Income"
8090,Adult,Male,"Middle Income"
8091,Adult,Female,"Lower Middle Income"
8092,Adult,Male,"Low Income"
8093,Adult,Male,"Low Income"
8094,Adult,Female,"Low Income"
8095,Adult,Female,"High Income"
8096,Adult,Female,"Upper Middle Income"
8097,Adult,Male,"Low Income"
8098,Adult,Female,"High Income"
8099,Adult,Male,"Middle Income"
8100,Adult,Male,"Upper Middle Income"
8101,Youth,Female,"High Income"
8102,Adult,Male,"Middle Income"
8103,Youth,Male,"Upper Middle Income"
8104,Adult,Female,"Lower Middle Income"
8105,Adult,Male,"Upper Middle Income"
8106,Youth,Male,"Upper Middle Income"
8107,Adult,Male,"Low Income"
8108,Adult,Female,"Middle Income"
8109,Adult,Female,"Upper Middle Income"
8110,Adult,Female,"Lower Middle Income"
8111,Senior,Female,"Low Income"
8112,Adult,Female,"Upper Middle Income"
8113,Adult,Female,"Middle Income"
8114,Adult,Male,"High Income"
8115,Adult,Male,"Upper Middle Income"
8116,Adult,Female,"Upper Middle Income"
8117,Youth,Male,"Lower Middle Income"
8118,Adult,Female,"Lower Middle Income"
8119,Adult,Female,"High Income"
8120,Adult,Female,"Upper Middle Income"
8121,Adult,Female,"Lower Middle Income"
8122,Youth,Female,"High Income"
8123,Adult,Male,"Upper Middle Income"
8124,Adult,Female,"Upper Middle Income"
8125,Adult,Female,"Lower Middle Income"
8126,Adult,Female,"Lower Middle Income"
8127,Adult,Male,"Upper Middle Income"
8128,Senior,Male,"Lower Middle Income"
8129,Adult,Male,"Lower Middle Income"
8130,Adult,Female,"Upper Middle Income"
8131,Adult,Female,"High Income"
8132,Adult,Male,"Upper Middle Income"
8133,Adult,Female,"Middle Income"
8134,Adult,Male,"High Income"
8135,Adult,Female,"Upper Middle Income"
8136,Adult,Female,"Middle Income"
8137,Adult,Male,"Middle Income"
8138,Youth,Female,"Upper Middle Income"
8139,Adult,Female,"Middle Income"
8140,Adult,Female,"Lower Middle Income"
8141,Adult,Female,"Upper Middle Income"
8142,Adult,Female,"Upper Middle Income"
8143,Youth,Male,"Lower Middle Income"
8144,Youth,Female,"Upper Middle Income"
8145,Youth,Female,"Upper Middle Income"
8146,Adult,Female,"High Income"
8147,Adult,Male,"High Income"
8148,Adult,Male,"Middle Income"
8149,Adult,Male,"Lower Middle Income"
8150,Adult,Male,"Upper Middle Income"
8151,Adult,Male,"Lower Middle Income"
8152,Adult,Female,"Lower Middle Income"
8153,Adult,Male,"Middle Income"
8154,Adult,Male,"Middle Income"
8155,Adult,Female,"Lower Middle Income"
8156,Senior,Male,"Middle Income"
8157,Adult,Male,"Lower Middle Income"
8158,Adult,Male,"Lower Middle Income"
8159,Senior,Male,"Lower Middle Income"
8160,Senior,Female,"High Income"
8161,Adult,Male,"High Income"
8162,Youth,Female,"Upper Middle Income"
8163,Adult,Female,"Upper Middle Income"
8164,Adult,Female,"Lower Middle Income"
8165,Adult,Female,"Lower Middle Income"
8166,Adult,Female,"Upper Middle Income"
8167,Adult,Female,"High Income"
8168,Adult,Male,"Lower Middle Income"
8169,Adult,Male,"Low Income"
8170,Adult,Female,"Lower Middle Income"
8171,Adult,Male,"High Income"
8172,Adult,Male,"Lower Middle Income"
8173,Adult,Female,"Lower Middle Income"
8174,Youth,Female,"Low Income"
8175,Senior,Male,"Middle Income"
8176,Adult,Female,"Low Income"
8177,Adult,Male,"Upper Middle Income"
8178,Youth,Female,"Upper Middle Income"
8179,Adult,Male,"Lower Middle Income"
8180,Adult,Male,"Lower Middle Income"
8181,Youth,Female,"Middle Income"
8182,Adult,Female,"Lower Middle Income"
8183,Adult,Female,"Middle Income"
8184,Adult,Female,"High Income"
8185,Adult,Male,"Upper Middle Income"
8186,Adult,Female,"Lower Middle Income"
8187,Adult,Male,"High Income"
8188,Adult,Male,"Low Income"
8189,Adult,Male,"Middle Income"
8190,Adult,Female,"Low Income"
8191,Adult,Female,"High Income"
8192,Adult,Female,"Upper Middle Income"
8193,Youth,Female,"High Income"
8194,Adult,Male,"Upper Middle Income"
8195,Senior,Female,"Upper Middle Income"
8196,Adult,Female,"Upper Middle Income"
8197,Adult,Male,"Upper Middle Income"
8198,Youth,Female,"Lower Middle Income"
8199,Adult,Male,"Lower Middle Income"
8200,Youth,Female,"Middle Income"
8201,Adult,Female,"Upper Middle Income"
