CustomerID,AdSpend_Group,Pre_Purchase_Group,Customer_Loyalty,Conv_Probability
8000,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8001,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8002,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8003,"Medium Spend","New Customer","Gold Tier","High Probability"
8004,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8005,"High Spend","New Customer","Gold Tier","High Probability"
8006,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8007,"High Spend","New Customer","Gold Tier","High Probability"
8008,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8009,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8010,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8011,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8012,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8013,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8014,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8015,"Low Spend","Occasional Buyer","Platinum Tier","Low Probability"
8016,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8017,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8018,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8019,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8020,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8021,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8022,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8023,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8024,"Medium Spend","Occasional Buyer","Silver Tier","High Probability"
8025,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8026,"Medium Spend","Occasional Buyer","Bronze Tier","Low Probability"
8027,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8028,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8029,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8030,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8031,"High Spend","New Customer","Bronze Tier","High Probability"
8032,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8033,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8034,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8035,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8036,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8037,"Low Spend","Frequent Buyer","Bronze Tier","High Probability"
8038,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8039,"High Spend","New Customer","Gold Tier","High Probability"
8040,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8041,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8042,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8043,"High Spend","New Customer","Bronze Tier","Low Probability"
8044,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8045,"High Spend","New Customer","Bronze Tier","High Probability"
8046,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8047,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8048,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8049,"Low Spend","Frequent Buyer","Gold Tier","High Probability"
8050,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8051,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8052,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8053,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8054,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8055,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8056,"Low Spend","Frequent Buyer","Platinum Tier","High Probability"
8057,"High Spend","New Customer","Bronze Tier","High Probability"
8058,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8059,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8060,"High Spend","New Customer","Silver Tier","High Probability"
8061,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8062,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8063,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8064,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8065,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8066,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8067,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8068,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8069,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8070,"Medium Spend","Occasional Buyer","Silver Tier","High Probability"
8071,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8072,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8073,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8074,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8075,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8076,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8077,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8078,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8079,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8080,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8081,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8082,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8083,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8084,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8085,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8086,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8087,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8088,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8089,"Low Spend","Frequent Buyer","Gold Tier","High Probability"
8090,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8091,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8092,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8093,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8094,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8095,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8096,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8097,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8098,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8099,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8100,"High Spend","New Customer","Gold Tier","High Probability"
8101,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8102,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8103,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8104,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8105,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8106,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8107,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8108,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8109,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8110,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8111,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8112,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8113,"Medium Spend","New Customer","Platinum Tier","Low Probability"
8114,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8115,"Low Spend","Frequent Buyer","Silver Tier","High Probability"
8116,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8117,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8118,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8119,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8120,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8121,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8122,"Medium Spend","Occasional Buyer","Platinum Tier","High Probability"
8123,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8124,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8125,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8126,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8127,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8128,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8129,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8130,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8131,"High Spend","New Customer","Platinum Tier","High Probability"
8132,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8133,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8134,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8135,"Medium Spend","New Customer","Bronze Tier","High Probability"
8136,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8137,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8138,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8139,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8140,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8141,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8142,"Medium Spend","Occasional Buyer","Silver Tier","Low Probability"
8143,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8144,"High Spend","Occasional Buyer","Bronze Tier","Low Probability"
8145,"Low Spend","Frequent Buyer","Platinum Tier","High Probability"
8146,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8147,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8148,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8149,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8150,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8151,"High Spend","Occasional Buyer","Gold Tier","Low Probability"
8152,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8153,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8154,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8155,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8156,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8157,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8158,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8159,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8160,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8161,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8162,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8163,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8164,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8165,"Medium Spend","New Customer","Silver Tier","High Probability"
8166,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8167,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8168,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8169,"High Spend","New Customer","Platinum Tier","High Probability"
8170,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8171,"Medium Spend","New Customer","Gold Tier","High Probability"
8172,"High Spend","New Customer","Gold Tier","High Probability"
8173,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8174,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8175,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8176,"Medium Spend","Occasional Buyer","Gold Tier","High Probability"
8177,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8178,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8179,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8180,"High Spend","New Customer","Gold Tier","High Probability"
8181,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8182,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8183,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8184,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8185,"Low Spend","Frequent Buyer","Gold Tier","High Probability"
8186,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8187,"High Spend","Occasional Buyer","Bronze Tier","Low Probability"
8188,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8189,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8190,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8191,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8192,"Medium Spend","Frequent Buyer","Silver Tier","High Probability"
8193,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8194,"Low Spend","Occasional Buyer","Silver Tier","High Probability"
8195,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8196,"Medium Spend","New Customer","Bronze Tier","Low Probability"
8197,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8198,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8199,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8200,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8201,"Low Spend","Occasional Buyer","Silver Tier","High Probability"
8202,"Medium Spend","Frequent Buyer","Gold Tier","High Probability"
8203,"High Spend","Occasional Buyer","Silver Tier","High Probability"
8204,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8205,"High Spend","Frequent Buyer","Bronze Tier","Low Probability"
8206,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8207,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8208,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8209,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8210,"High Spend","Frequent Buyer","Silver Tier","High Probability"
8211,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8212,"Low Spend","New Customer","Gold Tier","Low Probability"
8213,"Medium Spend","New Customer","Silver Tier","High Probability"
8214,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8215,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8216,"Medium Spend","Frequent Buyer","Platinum Tier","High Probability"
8217,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8218,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8219,"High Spend","Occasional Buyer","Gold Tier","High Probability"
8220,"Low Spend","Frequent Buyer","Silver Tier","High Probability"
8221,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8222,"High Spend","New Customer","Gold Tier","High Probability"
8223,"Medium Spend","Frequent Buyer","Bronze Tier","High Probability"
8224,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8225,"High Spend","Frequent Buyer","Gold Tier","High Probability"
8226,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
8227,"High Spend","Occasional Buyer","Bronze Tier","High Probability"
8228,"High Spend","Occasional Buyer","Platinum Tier","High Probability"
8229,"High Spend","New Customer","Bronze Tier","High Probability"
8230,"High Spend","Frequent Buyer","Bronze Tier","High Probability"
8231,"High Spend","Frequent Buyer","Platinum Tier","High Probability"
